Oil Exporting Countries Data (2000-2020),,,,,,,,,,
Country,Years,GDP/Capita (USD Thousand),Oil Rent,Debt to GDP Ratio,HDI,Democracy Index,Civil Rights/Freedom Indexes,Gini Coefficient,Oil Export ,Oil Production
Iraq,2008,4504.50809,,74.167511,0.623,"4,0",,,1900,2281
Iraq,2009,3686.40213,39.1145928,87.3750997,0.633,,,,1906,2336
Iraq,2010,4430.42624,43.2562312,53.5328797,0.64,"4,0",,,1890,2358
Iraq,2011,5736.89896,50.926366,40.7193659,0.649,4.03,,,2166,2653
Iraq,2012,6437.50308,49.6110994,34.7817994,0.66,4.1,4.32,29.5,2423,2942
Iraq,2013,6612.90225,45.3313602,31.9869944,0.667,4.1,,,2390,2980
Iraq,2014,6215.98603,46.6038528,32.8624831,0.67,4.23,4.33,,2516,3110
Iraq,2015,4416.94292,37.2575417,56.9344622,0.675,4.08,,,3005,3504
Iraq,2016,4305.2027,32.9650561,66.9699117,0.679,4.08,4.92,,3804,4648
Iraq,2017,4725.19357,38.9203121,59.0612231,0.685,4.09,,,3802,4469
Iraq,2018,5601.46706,45.7658631,47.7637634,0.692,4.06,,,3862,4410
Iraq,2019,5621.18169,40.2312783,45.1259684,0.696,3.74,5.07,,3968,4576
Iraq,2020,4251.33725,27.0350019,84.3034159,0.679,3.62,4.81,,3428,3997
United States ,2000,36329.9561,0.30755128,33.3,0.891,8.32,9.03,40.1,50,5822
United States ,2001,37134,0.16943296,52.5,0.892,8.32,,40.6,20,5801
United States ,2002,37998,0.17281709,53.9,0.893,8.31,8.92,40.4,9,5744
United States ,2003,39490,0.21178853,56.3,0.895,8.29,,40.8,12,5649
United States ,2004,41725,0.28317063,56.7,0.898,8.26,8.97,40.3,27,5441
United States ,2005,44123,0.35082319,56.6,0.9,8.26,,41,32,5184
United States ,2006,46302,0.34946427,55.5,0.904,8.22,8.94,41.4,25,5086
United States ,2007,48050,0.3568975,55.7,0.906,8.22,,40.8,27,5074
United States ,2008,48570,0.5214989,63.8,0.906,8.18,8.89,40.8,29,5000
United States ,2009,47195,0.2596404,75.9,0.908,8.18,,40.6,44,5357
United States ,2010,48651,0.2937627,85,0.911,8.18,8.86,40,42,5484
United States ,2011,50066,0.37084524,89.6,0.913,8.11,,40.9,47,5674
United States ,2012,51784,0.20592585,93.7,0.916,8.11,8.87,40.9,67,6524
United States ,2013,53291,0.30565008,95.6,0.917,8.5,,40.7,134,7497
United States ,2014,54851,0.29222657,95.8,0.919,7.98,8.94,41.5,351,8793
United States ,2015,56155,0.00752518,96.8,0.92,7.98,,41.2,465,9442
United States ,2016,57460,0.0922955,98.6,0.922,7.96,8.9,41.1,591,8848
United States ,2017,58764,0.16252585,97.7,0.924,7.96,,41.2,1158,9359
United States ,2018,60068,0.31924761,99.1,0.927,7.92,,41.4,2048,10953
United States ,2019,61372,0.36854456,100.9,0.93,7.85,8.79,41.5,2982,12315
United States ,2020,62676,0.18762511,126.3,0.92,7.85,8.32,41.4,3206,11318
UAE,2000,31855.5006,20.8440562,3.1,0.796,,5.98,,1815,2175
UAE,2001,29909.0094,15.806239,2.7,0.8,,,,1787,2115
UAE,2002,30221.967,14.6453241,3.4,0.804,,6.03,,1614,1900
UAE,2003,32607.3729,17.805701,3.3,0.814,,,,2048,2248
UAE,2004,37017.7364,20.9182068,4.1,0.818,,5.98,,2172,2344
UAE,2005,42190.5544,23.941737,4.5,0.822,,,,2195,2378
UAE,2006,45339.5851,25.8820272,5.1,0.827,2.42,6.07,,2420,2568
UAE,2007,43918.3802,23.7183456,8.9,0.831,,,,2343,2529
UAE,2008,45140.7691,26.6720427,8.9,0.834,2.6,6.15,,2328,2572
UAE,2009,31722.5888,18.4182632,13.2,0.833,,,,1953,2242
UAE,2010,34165.9133,22.6797379,19.5,0.835,2.52,6.22,,2104,2324
UAE,2011,40893.0234,28.5990789,21.5,0.84,2.58,,,2457,2564
UAE,2012,44386.7861,27.064852,21.2,0.846,2.58,6.14,,2445,2653
UAE,2013,45729.6077,26.248064,16,0.852,2.52,,32.5,2701,2797
UAE,2014,46865.9646,22.9458647,14.2,0.859,2.64,6.01,,2497,2794
UAE,2015,41525.1389,13.1025344,16.7,0.865,2.75,,,2441,2989
UAE,2016,41054.5396,11.0807564,19.4,0.87,2.75,5.96,,2408,3088
UAE,2017,43063.9675,13.4985732,21.6,0.897,2.69,,,2379,2967
UAE,2018,46722.2687,17.0989945,20.9,0.909,2.76,,26,2296,3008
UAE,2019,45376.1708,15.6815915,27.3,0.92,2.76,5.88,,2414,3058
UAE,2020,37629.1742,10.4940977,36.9,0.912,2.7,5.76,,2418,2779
